Line	Spkr	StTime	Content	EnTime
1	VLD_int_01	0.9350	And	1.7452
2	VLD_int_01	1.7452	(pause 0.38)	2.1238
3	VLD_int_01	2.1238	tell me your birthday please.	3.3919
4	VLD_se0_ag4_f_01	3.4540	Three fifteen, nineteen fifty-nine.	6.0406
5	VLD_int_01	8.8824	And where were you born?	9.8843
6	VLD_se0_ag4_f_01	10.5122	Valdosta, Georgia.	11.8368
7	VLD_int_01	13.0652	And what neighborhood did you grow up in?	14.4974
8	VLD_se0_ag4_f_01	16.3933	The west side	17.3500
9	VLD_se0_ag4_f_01	17.3500	(pause 0.29)	17.6444
10	VLD_se0_ag4_f_01	17.6444	/RD-ADDRESS-6/.	19.2464
11	VLD_int_01	28.7613	Okay.	29.2311
12	VLD_int_01	29.2311	(pause 0.60)	29.8312
13	VLD_int_01	29.8312	And how many years have you lived in Valdosta?	31.7728
14	VLD_se0_ag4_f_01	34.4160	Mm, predominantly all my life except	37.4785
15	VLD_se0_ag4_f_01	37.4785	(pause 0.24)	37.7162
16	VLD_se0_ag4_f_01	37.7162	there was a brief period I moved,	39.5807
17	VLD_se0_ag4_f_01	39.5807	(pause 1.01)	40.5858
18	VLD_se0_ag4_f_01	40.5858	but I moved back.	41.6300
19	VLD_int_01	43.0822	Um, how long was that?	44.8088
20	VLD_int_01	44.8088	(pause 0.19)	44.9956
21	VLD_int_01	44.9956	Maybe,	45.8447
22	VLD_int_01	45.8447	(pause 0.32)	46.1612
23	VLD_int_01	46.1612	[what, ten year-]	46.8915
24	VLD_se0_ag4_f_01	46.2631	[Mm.] About ten years.	48.0180
25	VLD_int_01	51.5334	And where'd you live?	52.4808
26	VLD_se0_ag4_f_01	53.6953	When I [moved?]	54.4992
27	VLD_int_01	54.3746	[Mm-hm.]	54.7312
28	VLD_se0_ag4_f_01	55.3030	Oklahoma City.	56.2653
29	VLD_int_01	57.1201	Okay.	57.5390
30	VLD_int_01	57.5390	(pause 0.53)	58.0650
31	VLD_int_01	58.0650	Did you live in- have you lived any other place?	59.6330
32	VLD_se0_ag4_f_01	60.4142	Nope.	60.7539
33	VLD_int_01	61.1898	Okay. Where'd you go to school?	62.6276
34	VLD_se0_ag4_f_01	63.3126	/RD-SCHOOL-3/ city school system.	65.7689
35	VLD_int_01	72.6577	What about	73.0652
36	VLD_int_01	73.0652	(pause 0.28)	73.3426
37	VLD_int_01	73.3426	college?	73.9314
38	VLD_se0_ag4_f_01	75.1711	Well,	75.7428
39	VLD_se0_ag4_f_01	75.7428	(pause 0.30)	76.0423
40	VLD_se0_ag4_f_01	76.0423	when I moved, I was in Oklahoma, I went to /RD-SCHOOL-2/.	79.7955
41	VLD_se0_ag4_f_01	79.7955	(pause 1.05)	80.8427
42	VLD_se0_ag4_f_01	80.8427	And got my AA.	82.1221
43	VLD_se0_ag4_f_01	82.1221	(pause 0.50)	82.6254
44	VLD_se0_ag4_f_01	82.6254	And then I- when I moved back,	84.3010
45	VLD_se0_ag4_f_01	84.3010	(pause 1.00)	85.3030
46	VLD_se0_ag4_f_01	85.3030	um,	85.9483
47	VLD_se0_ag4_f_01	85.9483	(pause 1.69)	87.6353
48	VLD_se0_ag4_f_01	87.6353	I went to /RD-SCHOOL-4/,	89.3274
49	VLD_se0_ag4_f_01	89.3274	(pause 0.27)	89.5934
50	VLD_se0_ag4_f_01	89.5934	to get my BA.	90.7143
51	VLD_se0_ag4_f_01	90.7143	(pause 9.02)	99.7367
52	VLD_se0_ag4_f_01	99.7367	Oh, and I have a master's	102.2531
53	VLD_se0_ag4_f_01	102.2531	(pause 0.68)	102.9294
54	VLD_se0_ag4_f_01	102.9294	from /RD-SCHOOL-7/ which, that was a online course.	105.9693
55	VLD_se0_ag4_f_01	105.9693	(pause 1.19)	107.1632
56	VLD_se0_ag4_f_01	107.1632	Online courses I did.	108.7822
57	VLD_se0_ag4_f_01	108.7822	(pause 0.98)	109.7672
58	VLD_se0_ag4_f_01	109.7672	Actually I have two master's. One in counseling and one in, um,	112.9543
59	VLD_se0_ag4_f_01	112.9543	(pause 3.75)	116.7012
60	VLD_se0_ag4_f_01	116.7012	oh heck, I forgot what I got it in.	118.3995
61	VLD_int_01	123.6744	Human Services.	124.6707
62	VLD_se0_ag4_f_01	124.6877	Well both of them is in Human Services. One is more	127.3370
63	VLD_se0_ag4_f_01	127.3370	(pause 0.24)	127.5747
64	VLD_se0_ag4_f_01	127.5747	dealing with, um,	128.6220
65	VLD_se0_ag4_f_01	128.6220	(pause 2.12)	130.7386
66	VLD_se0_ag4_f_01	130.7386	gerontology. And the other one is counseling.	133.9144
67	VLD_int_01	134.1295	Oh okay.	134.7465
68	VLD_se0_ag4_f_01	134.8824	Wow.	135.2956
69	VLD_int_01	135.7315	Uh,	136.3089
70	VLD_int_01	136.3089	(pause 0.18)	136.4895
71	VLD_int_01	136.4895	what's- what's your current occupation?	138.1178
72	VLD_se0_ag4_f_01	138.5954	Case manager.	139.5294
73	VLD_int_01	143.0783	Where was your father born?	144.2727
74	VLD_se0_ag4_f_01	146.4069	If I'm not mistaken, I believe he was born in Valdosta as well.	149.4632
75	VLD_int_01	149.9670	Really?	150.3576
76	VLD_se0_ag4_f_01	150.6407	Really.	151.2973
77	VLD_int_01	152.0332	Wow.	152.3955
78	VLD_int_01	152.3955	(pause 0.12)	152.5201
79	VLD_int_01	152.5201	I did not know that. What about your mom?	153.9240
80	VLD_se0_ag4_f_01	154.9934	Definitely Valdosta, Georgia.	156.3463
81	VLD_se0_ag4_f_01	156.3463	(pause 0.82)	157.1671
82	VLD_se0_ag4_f_01	157.1671	By a midwife.	158.3280
83	VLD_int_01	159.7881	W- what was your dad's occupation?	161.3500
84	VLD_se0_ag4_f_01	163.2577	He used to be a custodian at	166.3485
85	VLD_se0_ag4_f_01	166.3485	(pause 0.76)	167.1066
86	VLD_se0_ag4_f_01	167.1066	a university.	168.0972
87	VLD_int_01	169.0539	And what about your mom?	169.9936
88	VLD_se0_ag4_f_01	169.9936	No not a uni- no- not a university, at a nursing home. I remember. I think it was a nursing home.	174.4482
89	VLD_se0_ag4_f_01	175.4445	My mom she started off, um,	177.7089
90	VLD_se0_ag4_f_01	177.7089	(pause 3.07)	180.7765
91	VLD_se0_ag4_f_01	180.7765	anyway, she became a nurse for a psych ward.	183.0862
92	VLD_se0_ag4_f_01	183.0862	(pause 1.48)	184.5688
93	VLD_se0_ag4_f_01	184.5688	Psychiatric ward.	185.5764
94	VLD_int_01	186.6407	Really?	187.0935
95	VLD_int_01	187.0935	(pause 1.53)	188.6276
96	VLD_int_01	188.6276	Wow.	189.0635
97	VLD_int_01	189.0635	(pause 3.10)	192.1595
98	VLD_int_01	192.1595	I didn't know she was a nurse.	193.1671
99	VLD_se0_ag4_f_01	193.9317	Mm.	194.1835
100	VLD_int_01	196.9990	Just so much to learn.	198.0067
101	VLD_int_01	198.0067	(pause 2.63)	200.6390
102	VLD_int_01	200.6390	How long have you known me?	201.6636
103	VLD_se0_ag4_f_01	203.4009	Um,	204.4539
104	VLD_se0_ag4_f_01	204.4539	(pause 1.31)	205.7615
105	VLD_se0_ag4_f_01	205.7615	since nineteen [eighty-three.]	207.2390
106	VLD_int_01	206.7559	[<laugh>]	209.4179
107	VLD_int_01	211.2917	Um, okay.	212.5880
108	VLD_int_01	212.5880	(pause 0.89)	213.4768
109	VLD_int_01	213.4768	So we're gonna-	214.2410
110	VLD_int_01	214.2410	(pause 0.41)	214.6537
111	VLD_int_01	214.6537	we'll start here.	215.3613
112	VLD_int_01	215.3613	(pause 0.55)	215.9113
113	VLD_int_01	215.9113	Alright.	216.3973
114	VLD_int_01	216.3973	(pause 1.02)	217.4219
115	VLD_int_01	217.4219	So,	217.8747
116	VLD_int_01	217.8747	(pause 1.61)	219.4881
117	VLD_int_01	219.4881	when you were young, did- did you grow up in this- on this street, in this house, were you born, like	224.2814
118	VLD_int_01	224.2814	(pause 0.80)	225.0862
