,Content
0,They talking about don't send him to his daddy
1,You just need to go file for child support
2,Oh man
3,Bye
4,Why?
5,Why?
6,Okay what's your name?
7, what?
8,Okay
9,And uh
10,are you a male or female?
11,I'm a girl I think
12,<>
13,I'm just playing
14,Okay
15,And your ethnicity?
16,Hum I'm supposed to say black or nonhispanic
17,Okay
18,Um year of birth?
19,<ts>
20,Ninetyfive
21,Okay Nineteenninety five
22,that was a good year
23,Um hometown?
24,<ts>
25,Stone Mountain
26,Okay we in the Mount with it
27,Neighborhood
28,<ts>
29,RDADDRESS
30,RDADDRESS
31,Okay
32,RDADDRESS we we in here Let's see what else um
33,How many years have you been in the Atlanta area?
34,Psh twentyone
35,Okay
36,Twenty what?
37,Twentyone Twentyone
38,Okay Let's see any other places lived?
39,Nah I don't know nothing else
40,You ain't gonna claim nothing else?
41,Nah this all I know
42,Okay <>
43,Alright let's see
44,Shut up
45,um
46,your parent's birthplace?
47,<ts>
48,Ooh my daddy was born
49,in where my daddy was born at?
50,My mama was born in Florida My daddy was born in Decatur
51,Okay
52,Atlanta
53,one of them
54,Think he at Grady back
55,Wow that
56,that's a hell of a connection
57,Let's see
58,And uh
59,if you didn't know already my name is  and I will be
60,the interviewer of the day
61,And um
62,today is
63,I believe the twentysixth of January?
64,Yep
65,Okay
66,And um
67,the person I'm interviewing is
68,friend of family uh
69,I've I call her my sister
70,You know
71,She the folk around here so
72,As we're continuing um
73,let's see the recording equipment we're using
74,is the Zoom Handy H five recorder
75,Okay so now I'm finna get into some more
76,general
77,topics or whatever
78,Um do you have any siblings?
79,I have four brothers
80,and two sisters
81,God damn
82,<>
83,Yes
84,<>
85,Okay um
86,are you close to any of your aunts your uncles grandparents cousins?
87,Psh
88,all of 'em
89,But everybody just pretty much got they own thing going on so You know when you grow older
90,Mmhm
91,and you just you know start
92,pretty much yeah Doing your own thing yeah
93,Can't really link up how you used to but that don't mean we not close
94,Ah nah Everybody got a life to live
95,But that's cool man But when uh um next time you think y'all having a family reunion?
96,We just had one in July
97,Oh
98,Okay
99,Twentysixteen so
100,Still been a while
101,It might be twenty
102,twentyeighteen before we have another one
103,Okay
104,<cough>
105,Excuse me
106,How was it?
107,<ts>
108,It wasn't as big as I thought it would be
109,Mm
110,It was like everybody It wasn't good timing
111,People wasn't
112,Ah
113,A lot of people didn't really show up
114,Yeah
115,But we still enjoyed the people that we did have
116,Oh no that's what's up
117,And it was more so the older people And that's who you wanna see before they check out you know
118,<>
119,No that's for real That man
120,Fucking broke some shit over here
121,Let's see
122,Um let's see um blah blah blah blah blah
123,Why thank you
124,Thank you
125,So um
126,<cough> Ooh excuse me
127,Four siblings um
128,<cough>
129,I know you say you had a lot of what? Four brothers two sister
130,Um
131,who's younger
132,or older or where you reside in the mix?
133,I'm
134,the oldest girl
135,And the second oldest
136,out of them I only got one big brother Everybody else younger than me
137,And me and him are only seven months
138,Then you got  eighteen
139,Uhhuh
140,And then I got twins
141,They're eleven Then I got  he's four
142,Mmhm
143,And  is only
144,October November December January February March She's only four months
145,Okay Out of all of those you got a favorite?
146,Can't really put a name on it but you know 
147,<>
148,Hey okay
149,Cause we the closest
150,Nah definitely
151,But
152,And my big brother he grew up
153,with his mom so
154,ev and then the other four
155,they just so much younger so
156,And then personally me and  just always had a bond
157,<cough>
158,Okay Did you feel like
159, got away with more things than you did? Or you got away with more things than she did?
160,Um
161,<cough>
162,I feel like she did
163,because
164,<cough>
165,I don't know 
166, could get away with murder
167,And Zaria
168,Zaria conscious is not like mine I
169,I care
170,Mm
171, got a I don't give a fuck mindset
172,Yeah
173,And sometimes I'm like that too
174,but
