Line	Spkr	StTime	Content	EnTime
1	DTA_se3_ag4_f_03	0.4970	[That] could be it too. Because now, we didn't have, when I was a kid in school, we didn't have a	6.5468
2	DTA_int_03	0.5031	[Mm-hm.]	0.8143
3	DTA_se3_ag4_f_03	6.9434	lot of things like science and	9.2860
4	DTA_se3_ag4_f_03	9.2860	(pause 1.00)	10.2867
5	DTA_se3_ag4_f_03	10.2867	l- the only extra curricular thing we had was uh,	13.7204
6	DTA_se3_ag4_f_03	13.7204	(pause 1.46)	15.1788
7	DTA_se3_ag4_f_03	15.1788	we called it /calithenics/ calisthenics.	17.6825
8	DTA_int_03	17.7618	Mm-hm.	18.1218
9	DTA_se3_ag4_f_03	20.0257	And uh, these other things like reading and spelling.	23.8294
10	DTA_se3_ag4_f_03	23.8294	(pause 0.93)	24.7596
11	DTA_se3_ag4_f_03	24.7596	We had it in a-	25.5956
12	DTA_se3_ag4_f_03	25.5956	(pause 0.42)	26.0122
13	DTA_se3_ag4_f_03	26.0122	in a	26.4515
14	DTA_se3_ag4_f_03	26.4515	(pause 0.23)	26.6773
15	DTA_se3_ag4_f_03	26.6773	competition. A very friendly [competition.]	29.6866
16	DTA_int_03	29.2961	[Mm-hm.]	29.9063
17	DTA_int_03	30.1931	Mm-hm.	30.5287
18	DTA_se3_ag4_f_03	30.5958	And everybody learned to read, see who could read the best.	34.6336
19	DTA_int_03	34.7374	Mm-hm.	35.1706
20	DTA_se3_ag4_f_03	35.2367	Without missing a word	36.6402
21	DTA_int_03	36.6646	Mm-hm.	37.1000
22	DTA_se3_ag4_f_03	37.1345	and to see who could uh,	38.4953
23	DTA_se3_ag4_f_03	38.4953	(pause 0.20)	38.6966
24	DTA_se3_ag4_f_03	38.6966	put the emphasis in the right places.	40.6500
25	DTA_se3_ag4_f_03	40.6500	(pause 0.27)	40.9246
26	DTA_se3_ag4_f_03	40.9246	We had time for that.	42.1145
27	DTA_int_03	42.3464	Yeah.	42.7393
28	DTA_se3_ag4_f_03	42.9200	We had time to spell.	44.4639
29	DTA_int_03	44.6103	Yeah.	44.9154
30	DTA_int_03	44.9154	(pause 0.48)	45.3975
31	DTA_int_03	45.3975	Did you ever have a big spelling contest [with-]	47.6413
32	DTA_se3_ag4_f_03	47.3789	[Yes. Spelling contest.]	49.5085
33	DTA_int_03	48.1600	[What do you call it?]	48.6847
34	DTA_se3_ag4_f_03	49.6611	A spelling bee	50.5687
35	DTA_int_03	50.6053	[Mm-hm.]	50.9531
36	DTA_se3_ag4_f_03	50.7823	[Spelling] matches.	51.8867
37	DTA_int_03	52.0027	Spelling [match.]	52.8491
38	DTA_se3_ag4_f_03	52.5092	[That's what] they were called,	53.5734
39	DTA_se3_ag4_f_03	53.7153	spelling match.	54.5839
40	DTA_se3_ag4_f_03	54.5839	(pause 1.14)	55.7202
41	DTA_se3_ag4_f_03	55.7202	And uh,	56.7609
42	DTA_se3_ag4_f_03	56.7609	(pause 1.34)	58.1033
43	DTA_se3_ag4_f_03	58.1033	I remember, we had spelling,	60.1415
44	DTA_se3_ag4_f_03	60.1415	(pause 0.59)	60.7303
45	DTA_se3_ag4_f_03	60.7303	cause everybody spelled	62.4175
46	DTA_se3_ag4_f_03	62.4175	(pause 0.70)	63.1131
47	DTA_se3_ag4_f_03	63.1131	from the-	64.1261
48	DTA_se3_ag4_f_03	64.1261	(pause 1.12)	65.2428
49	DTA_se3_ag4_f_03	65.2428	the second grade, I'd say, um,	67.1974
50	DTA_int_03	67.2767	Mm-hm.	67.5086
51	DTA_se3_ag4_f_03	67.5086	up.	67.8137
52	DTA_se3_ag4_f_03	68.2592	No matter how	69.1562
53	DTA_se3_ag4_f_03	69.1562	(pause 0.51)	69.6688
54	DTA_se3_ag4_f_03	69.6688	far up you go. Course, our schools only went to the	72.9790
55	DTA_se3_ag4_f_03	72.9790	(pause 0.34)	73.3207
56	DTA_se3_ag4_f_03	73.3207	s- through the sixth grade where I went at-	75.4631
57	DTA_se3_ag4_f_03	75.4631	(pause 0.35)	75.8128
58	DTA_se3_ag4_f_03	75.8128	[at first.]	76.5973
59	DTA_int_03	75.9235	[Mm-hm.]	76.2286
60	DTA_se3_ag4_f_03	77.7689	Everybody was in spelling class.	79.8971
61	DTA_int_03	80.0862	Mm-hm.	80.5376
62	DTA_se3_ag4_f_03	80.7026	And uh,	81.5630
63	DTA_se3_ag4_f_03	81.5630	(pause 0.21)	81.7704
64	DTA_se3_ag4_f_03	81.7704	uh, in a spelling class, and got so that everybody spells so well that everybody was in the same class.	88.7074
65	DTA_int_03	88.7996	[Mm-hm.]	89.1319
66	DTA_se3_ag4_f_03	88.9766	[Most] the time, except the beginners.	90.6446
67	DTA_se3_ag4_f_03	93.0932	And the teacher, we- uh, if you stood head of the class,	96.2401
68	DTA_int_03	96.3866	Mm-hm.	96.7832
69	DTA_se3_ag4_f_03	96.7832	you just about stayed there.	98.3738
70	DTA_int_03	98.6566	Mm-hm.	99.1508
71	DTA_se3_ag4_f_03	99.3705	Cause everybody spell.	100.9013
72	DTA_se3_ag4_f_03	100.9013	(pause 0.31)	101.2064
73	DTA_se3_ag4_f_03	101.2064	And spelled well.	102.3902
74	DTA_se3_ag4_f_03	102.3902	(pause 1.64)	104.0317
75	DTA_se3_ag4_f_03	104.0317	Uh. Course that was just in one school I went.	106.5163
76	DTA_se3_ag4_f_03	106.5163	(pause 1.06)	107.5719
77	DTA_se3_ag4_f_03	107.5719	And uh,	108.4445
78	DTA_se3_ag4_f_03	108.4445	(pause 0.75)	109.1944
79	DTA_se3_ag4_f_03	109.1944	we spelled so well, the teacher would send us to the board.	111.7756
80	DTA_se3_ag4_f_03	111.7756	(pause 0.82)	112.5994
81	DTA_se3_ag4_f_03	112.5994	Make us write our spelling on the board. Have us write our spelling on the board.	116.5615
82	DTA_int_03	116.5615	/inaudible/	117.2436
83	DTA_se3_ag4_f_03	117.3548	And you really did get it.	118.6362
84	DTA_int_03	118.9524	/inaudible/	119.6791
85	DTA_se3_ag4_f_03	119.6305	I was a good speller, but I- look, I- I can't spell very well now.	123.2185
86	DTA_se3_ag4_f_03	123.7616	We've had adult spelling classes since I've been in Detroit and I uh,	127.7737
87	DTA_se3_ag4_f_03	127.7737	(pause 1.01)	128.7866
88	DTA_se3_ag4_f_03	128.7866	never could win the first prize (laughing), I'd always get the second.	133.3771
89	DTA_se3_ag4_f_03	133.3771	(pause 0.27)	133.6517
90	DTA_se3_ag4_f_03	133.6517	[<laugh>]	135.8123
91	DTA_int_03	133.7920	[<laugh>]	134.4571
92	DTA_int_03	136.4165	They don't- they don't	137.2830
93	DTA_int_03	137.2830	(pause 0.85)	138.1373
94	DTA_int_03	138.1373	compete about this kinda thing [anymore?]	140.0635
95	DTA_se3_ag4_f_03	139.5701	[No.] They don't.	140.4191
96	DTA_se3_ag4_f_03	140.6441	[Mm-hm.]	141.2604
97	DTA_int_03	140.6441	[They see who] can fight best.	141.9987
98	DTA_se3_ag4_f_03	141.9987	Yes.	142.7127
99	DTA_se3_ag4_f_03	143.1887	Yes.	143.7623
100	DTA_se3_ag4_f_03	143.7623	(pause 0.20)	143.9575
101	DTA_se3_ag4_f_03	143.9575	Mm-hm.	144.4762
102	DTA_int_03	144.4762	Where would you sit in school? did you have	146.5784
103	DTA_int_03	146.5784	(pause 0.68)	147.2557
104	DTA_int_03	147.2557	[tables?] or [did you have-]	148.3917
105	DTA_se3_ag4_f_03	147.2802	[We-]	147.5975
106	DTA_se3_ag4_f_03	147.5975	(pause 0.38)	147.9819
107	DTA_se3_ag4_f_03	147.9819	[We had]	148.6714
108	DTA_se3_ag4_f_03	149.4098	we sat on benches.	150.6919
109	DTA_int_03	150.7895	Mm-hm.	151.1923
110	DTA_int_03	151.1923	(pause 0.83)	152.0235
111	DTA_int_03	152.0235	And did you	152.6520
112	DTA_se3_ag4_f_03	152.8106	[Well in-] in grade school, i- they- we had desks.	155.6590
113	DTA_int_03	153.0425	[/inaudible/]	153.7992
114	DTA_int_03	155.8420	Mm-hm.	156.2143
115	DTA_int_03	156.2143	(pause 1.33)	157.5418
116	DTA_int_03	157.5418	Um.	157.9445
117	DTA_int_03	157.9445	(pause 2.72)	160.6674
118	DTA_int_03	160.6674	What did you- what was outside the school?	162.7055
119	DTA_int_03	162.7055	(pause 0.45)	163.1535
120	DTA_int_03	163.1535	Did you have any kind of	164.3044
121	DTA_se3_ag4_f_03	164.7828	Playground, [you mean?]	166.0764
122	DTA_int_03	165.4723	[Mm-hm.]	165.8700
123	DTA_se3_ag4_f_03	167.2359	Well, we just called it the school [ground.]	169.3717
124	DTA_int_03	169.2862	[Mm-hm.]	169.7866
125	DTA_se3_ag4_f_03	169.9636	Mm-hm.	170.4945
126	DTA_int_03	170.4945	Were there things to swing [on?]	172.1665
127	DTA_se3_ag4_f_03	171.9712	[No.] We didn't have anything like that.	174.2142
128	DTA_int_03	174.7390	What do the kids have now? They have [swings and?]	177.3121
129	DTA_se3_ag4_f_03	176.9723	[Swings] and-	178.1614
130	DTA_se3_ag4_f_03	179.1011	And uh.	179.9342
131	DTA_se3_ag4_f_03	179.9342	(pause 4.28)	184.2188
132	DTA_se3_ag4_f_03	184.2188	Uh.	184.8293
133	DTA_int_03	184.8293	Did you ever sit	185.6042
134	DTA_int_03	185.6042	(pause 0.61)	186.2144
135	DTA_int_03	186.2144	one on each end of a board?	187.7156
136	DTA_se3_ag4_f_03	187.7156	[Yes.]	188.5366
137	DTA_int_03	188.4670	[What do you call that?]	189.2393
138	DTA_se3_ag4_f_03	188.7206	[Mm-hm.]	189.4346
139	DTA_int_03	190.3438	[What do you call that?]	191.0893
140	DTA_se3_ag4_f_03	190.6306	[Well, we] called it a see-saw.	192.3392
141	DTA_int_03	192.1969	[Uh-huh.]	192.6789
142	DTA_se3_ag4_f_03	192.7400	[At that time.] <laugh>	194.0702
143	DTA_int_03	192.7781	[So did we.]	193.4034
144	DTA_int_03	195.3700	Uh.	195.7666
145	DTA_int_03	195.7666	(pause 1.59)	197.3532
146	DTA_int_03	197.3532	Let's see.	197.8414
147	DTA_int_03	197.8414	(pause 2.78)	200.6173
148	DTA_int_03	200.6173	When you- what time did you get out of school in the afternoon? Do you remember?	204.6394
149	DTA_se3_ag4_f_03	204.9750	Three thirty.	205.8524
150	DTA_int_03	206.0415	Mm-hm.	206.5175
151	DTA_int_03	206.5175	(pause 0.32)	206.8348
152	DTA_int_03	206.8348	And so you'd get home around quarter?	208.5378
153	DTA_se3_ag4_f_03	209.0534	We'd get home about four. Sometime we- we went- we walked quite a way to school.	214.0716
154	DTA_int_03	214.4089	Oh, I [see.]	214.9825
155	DTA_se3_ag4_f_03	214.8239	[Sometimes] we'd be after four.	216.6793
156	DTA_se3_ag4_f_03	216.8014	most of the times, would be after four.	218.7174
157	DTA_int_03	219.1446	Did you ever get home around five minutes, uh	221.4365
158	DTA_int_03	221.4365	(pause 0.92)	222.3519
159	DTA_int_03	222.3519	before four? Around [five minutes] what?	224.3108
160	DTA_se3_ag4_f_03	223.5054	[No.]	224.0362
161	DTA_se3_ag4_f_03	225.2750	I never got home before four, [because] we walked a little more than a mile.	229.5839
162	DTA_int_03	227.2285	[Mm-hm.]	227.5946
163	DTA_int_03	229.8278	Oh my gosh.	230.4986
164	DTA_int_03	230.4986	(pause 0.59)	231.0925
165	DTA_int_03	231.0925	When uh,	231.5379
166	DTA_int_03	231.5379	(pause 0.65)	232.1848
167	DTA_int_03	232.1848	when did you have to leave for school in the morning?	234.1978
