Line	Spkr	StTime	Content	EnTime
1	DCA_int_04	0.5484	First of all, what kind of games did you play around	3.1643
2	DCA_int_04	3.1643	(pause 0.21)	3.3741
3	DCA_int_04	3.3741	your neighborhood when you were very young?	4.9501
4	DCA_se1_ag1_m_08	7.2944	Um,	7.7234
5	DCA_se1_ag1_m_08	7.7234	(pause 2.85)	10.5771
6	DCA_se1_ag1_m_08	10.5771	kickball and	11.6384
7	DCA_se1_ag1_m_08	11.6384	(pause 0.25)	11.8909
8	DCA_se1_ag1_m_08	11.8909	um,	12.2220
9	DCA_se1_ag1_m_08	12.2220	(pause 4.37)	16.5911
10	DCA_se1_ag1_m_08	16.5911	forgot the names /of them/	17.7732
11	DCA_se1_ag1_m_08	17.7732	(pause 0.29)	18.0588
12	DCA_se1_ag1_m_08	18.0588	that you play	18.7489
13	DCA_se1_ag1_m_08	18.7489	(pause 1.67)	20.4229
14	DCA_se1_ag1_m_08	20.4229	when you go hide,	21.3601
15	DCA_se1_ag1_m_08	21.3601	(pause 0.67)	22.0316
16	DCA_se1_ag1_m_08	22.0316	not Hide and Seek,	23.0481
17	DCA_se1_ag1_m_08	23.0481	(pause 0.66)	23.7090
18	DCA_se1_ag1_m_08	23.7090	but uh-	24.1287
19	DCA_int_04	27.1036	How did you play?	27.9150
20	DCA_int_04	27.9150	(pause 0.56)	28.4792
21	DCA_int_04	28.4792	Can you describe it?	29.2205
22	DCA_se1_ag1_m_08	29.9608	Yeah, they had- Well,	30.8841
23	DCA_se1_ag1_m_08	30.8841	(pause 0.95)	31.8353
24	DCA_se1_ag1_m_08	31.8353	everyone would go hide, you know.	33.2295
25	DCA_se1_ag1_m_08	33.2295	(pause 0.37)	33.6026
26	DCA_se1_ag1_m_08	33.6026	It's like Hide and Seek but only use a ball, and then the one that they hit with the ball is it	37.3644
27	DCA_se1_ag1_m_08	37.3644	(pause 0.71)	38.0731
28	DCA_se1_ag1_m_08	38.0731	in a way of speaking, you know.	39.1270
29	DCA_se1_ag1_m_08	39.1270	(pause 1.21)	40.3346
30	DCA_se1_ag1_m_08	40.3346	Long time ago.	41.2987
31	DCA_int_04	41.9655	How did you pick the first person who was it?	43.9286
32	DCA_se1_ag1_m_08	45.3006	First one you catch and hit him with the ball.	47.0574
33	DCA_int_04	47.7510	Yeah, but when you were gonna start the game.	49.4019
34	DCA_se1_ag1_m_08	52.1481	Well the one that hit that uh,	53.2999
35	DCA_se1_ag1_m_08	53.2999	(pause 0.16)	53.4619
36	DCA_se1_ag1_m_08	53.4619	the person /fires/	54.6136
37	DCA_se1_ag1_m_08	54.6136	(pause 0.40)	55.0147
38	DCA_se1_ag1_m_08	55.0147	first.	55.4903
39	DCA_int_04	56.4741	Huh.	56.6420
40	DCA_int_04	56.6420	(pause 1.13)	57.7704
41	DCA_int_04	57.7704	Did you ever have any rhymes or something that you- you used to pick somebody to be it?	61.8959
42	DCA_se1_ag1_m_08	63.4975	Have any what?	64.0245
43	DCA_int_04	64.2436	Rhymes? Or [sayings that] you would-	66.2615
44	DCA_se1_ag1_m_08	65.5652	[Oh.]	65.9183
45	DCA_se1_ag1_m_08	68.0101	No.	68.3132
46	DCA_int_04	69.6747	No?	69.9685
47	DCA_int_04	69.9685	(pause 0.13)	70.0944
48	DCA_int_04	70.0944	Okay.	70.3462
49	DCA_int_04	70.3462	(pause 0.29)	70.6353
50	DCA_int_04	70.6353	Any other games you used to play?	72.1356
51	DCA_se1_ag1_m_08	78.0190	Basketball.	78.7791
52	DCA_se1_ag1_m_08	78.7791	(pause 0.22)	79.0029
53	DCA_se1_ag1_m_08	79.0029	I mean, you know, that's	80.1220
54	DCA_se1_ag1_m_08	80.1220	(pause 0.34)	80.4577
55	DCA_se1_ag1_m_08	80.4577	sports, but	81.1105
56	DCA_int_04	81.5255	Uh-huh.	81.8939
57	DCA_se1_ag1_m_08	82.0198	that's all.	82.4861
58	DCA_int_04	82.9559	Did you ever play anything, um-	84.3827
59	DCA_int_04	84.3827	(pause 0.25)	84.6345
60	DCA_int_04	84.6345	Say if you weren't around a basketball court. You know, like marbles?	87.9545
61	DCA_int_04	87.9545	(pause 0.35)	88.3089
62	DCA_int_04	88.3089	Or Kick the Can or anything like those kind of games?	90.7278
63	DCA_se1_ag1_m_08	91.6837	No.	92.0940
64	DCA_int_04	93.2970	None of that.	93.7866
65	DCA_int_04	93.7866	(pause 1.16)	94.9430
66	DCA_int_04	94.9430	Um,	95.2937
67	DCA_int_04	95.2937	(pause 1.26)	96.5553
68	DCA_int_04	96.5553	what are your favorite TV programs?	98.4624
69	DCA_se1_ag1_m_08	103.3619	Mission Impossible and It Takes a Thief.	105.5442
70	DCA_int_04	106.0897	Uh-huh.	106.4255
71	DCA_int_04	106.4255	(pause 0.35)	106.7752
72	DCA_int_04	106.7752	Do you remember seeing an interesting episode that you can describe?	109.5592
73	DCA_se1_ag1_m_08	112.5374	No.	112.8207
74	DCA_int_04	114.0517	Do you watch it month to month?	115.2314
75	DCA_se1_ag1_m_08	115.9075	No, I don't look at	116.6722
76	DCA_se1_ag1_m_08	116.6722	(pause 0.44)	117.1105
77	DCA_se1_ag1_m_08	117.1105	television very often, but when I do, you know, I look at those	120.1356
78	DCA_int_04	120.3408	[Mm-hm.]	120.7884
79	DCA_se1_ag1_m_08	120.3454	[/Or them/.]	120.8024
80	DCA_int_04	121.6091	Can you	122.0517
81	DCA_int_04	122.0517	(pause 0.13)	122.1826
82	DCA_int_04	122.1826	relate to me any movie you've seen recently?	124.5560
83	DCA_se1_ag1_m_08	128.4484	Um,	129.1338
84	DCA_se1_ag1_m_08	129.1338	(pause 2.73)	131.8651
85	DCA_se1_ag1_m_08	131.8651	you wanna hear all [that?]	132.7231
86	DCA_int_04	132.6019	[Yeah.]	132.9330
87	DCA_se1_ag1_m_08	133.7723	Carmen, Baby.	134.6302
88	DCA_int_04	134.9800	Alright.	135.2737
89	DCA_int_04	135.2737	(pause 0.17)	135.4463
90	DCA_int_04	135.4463	Tell me about it.	135.9685
91	DCA_se1_ag1_m_08	136.8125	Tell you about it?	137.5014
92	DCA_int_04	137.4781	Yeah.	137.8605
93	DCA_int_04	139.3806	The story,	139.9914
94	DCA_int_04	139.9914	(pause 0.88)	140.8681
95	DCA_int_04	140.8681	you know,	141.2364
96	DCA_se1_ag1_m_08	144.5832	<laugh>	144.7371
97	DCA_se1_ag1_m_08	144.7371	(pause 0.97)	145.7117
98	DCA_se1_ag1_m_08	145.7117	That was a adult picture.	146.8447
99	DCA_int_04	147.3856	Uh-huh.	147.6561
100	DCA_se1_ag1_m_08	149.0491	You still wanna hear about it.	149.9724
101	DCA_se1_ag1_m_08	149.9724	(pause 0.44)	150.4154
102	DCA_se1_ag1_m_08	150.4154	I don't know how to explain it, but uh,	151.6790
103	DCA_se1_ag1_m_08	151.6790	(pause 0.99)	152.6722
104	DCA_se1_ag1_m_08	152.6722	I know it- that um,	153.6328
105	DCA_se1_ag1_m_08	153.6328	(pause 0.68)	154.3136
106	DCA_se1_ag1_m_08	154.3136	<ts>	154.4488
107	DCA_se1_ag1_m_08	154.4488	(pause 1.57)	156.0144
108	DCA_se1_ag1_m_08	156.0144	she met this uh,	156.9143
109	DCA_se1_ag1_m_08	156.9143	(pause 0.15)	157.0635
110	DCA_se1_ag1_m_08	157.0635	/?/.	157.5904
111	DCA_se1_ag1_m_08	157.5904	(pause 0.11)	157.6977
112	DCA_se1_ag1_m_08	157.6977	Her husband was in the-	158.7935
113	DCA_se1_ag1_m_08	158.7935	(pause 0.57)	159.3623
114	DCA_se1_ag1_m_08	159.3623	Her husband was in jail,	160.6306
115	DCA_se1_ag1_m_08	160.6306	(pause 2.08)	162.7091
116	DCA_se1_ag1_m_08	162.7091	and uh,	163.2081
117	DCA_se1_ag1_m_08	163.2081	(pause 0.97)	164.1779
118	DCA_se1_ag1_m_08	164.1779	you know, uh	164.6396
119	DCA_se1_ag1_m_08	164.6396	(pause 1.23)	165.8706
120	DCA_se1_ag1_m_08	165.8706	she met this soldier,	167.1622
121	DCA_int_04	168.6812	Mm-hm.	168.9749
122	DCA_se1_ag1_m_08	169.6324	this policeman.	170.4018
123	DCA_se1_ag1_m_08	170.4018	(pause 1.36)	171.7633
124	DCA_se1_ag1_m_08	171.7633	And um,	172.3695
125	DCA_se1_ag1_m_08	172.3695	(pause 0.87)	173.2403
126	DCA_se1_ag1_m_08	173.2403	her and- him and her got together.	174.6485
127	DCA_se1_ag1_m_08	174.6485	(pause 1.13)	175.7816
128	DCA_se1_ag1_m_08	175.7816	So uh,	176.4297
129	DCA_se1_ag1_m_08	176.4297	(pause 1.84)	178.2716
130	DCA_se1_ag1_m_08	178.2716	they used to go out all the time and	179.7626
131	DCA_se1_ag1_m_08	179.7626	(pause 0.58)	180.3408
132	DCA_se1_ag1_m_08	180.3408	things like that, and then she would see somebody else	182.6163
133	DCA_se1_ag1_m_08	182.6163	(pause 0.18)	182.7935
134	DCA_se1_ag1_m_08	182.7935	that she liked.	183.3623
135	DCA_se1_ag1_m_08	183.3623	(pause 1.19)	184.5514
136	DCA_se1_ag1_m_08	184.5514	You know,	185.0165
137	DCA_se1_ag1_m_08	185.0165	(pause 0.12)	185.1331
138	DCA_se1_ag1_m_08	185.1331	while they were out.	186.0190
139	DCA_se1_ag1_m_08	186.0190	(pause 0.16)	186.1822
140	DCA_se1_ag1_m_08	186.1822	And she would leave him and go with	187.6697
141	DCA_se1_ag1_m_08	187.6697	(pause 0.29)	187.9588
142	DCA_se1_ag1_m_08	187.9588	them to their place, you know, like that.	189.6001
143	DCA_int_04	189.8613	Uh-huh.	190.1550
144	DCA_se1_ag1_m_08	190.7519	And uh,	191.2228
145	DCA_se1_ag1_m_08	191.2228	(pause 1.72)	192.9423
146	DCA_se1_ag1_m_08	192.9423	then she was-	193.6510
147	DCA_se1_ag1_m_08	193.6510	(pause 1.66)	195.3110
148	DCA_se1_ag1_m_08	195.3110	they were uh-	195.9592
149	DCA_se1_ag1_m_08	195.9592	(pause 0.85)	196.8078
150	DCA_se1_ag1_m_08	196.8078	they had a little um,	197.6413
151	DCA_se1_ag1_m_08	197.6413	(pause 1.58)	199.2221
152	DCA_se1_ag1_m_08	199.2221	some kind of ring,	200.2153
153	DCA_se1_ag1_m_08	200.2153	(pause 0.30)	200.5137
154	DCA_se1_ag1_m_08	200.5137	forgot what you call it anyway, uh.	201.7074
155	DCA_se1_ag1_m_08	201.7074	(pause 1.94)	203.6460
156	DCA_se1_ag1_m_08	203.6460	Her-	203.9677
157	DCA_se1_ag1_m_08	203.9677	(pause 1.45)	205.4226
158	DCA_se1_ag1_m_08	205.4226	Sh- I mean, she would go to another man's apartment,	208.1970
159	DCA_se1_ag1_m_08	208.1970	(pause 1.06)	209.2543
160	DCA_se1_ag1_m_08	209.2543	and uh,	209.7905
161	DCA_se1_ag1_m_08	209.7905	(pause 0.66)	210.4527
162	DCA_se1_ag1_m_08	210.4527	say she would get in the bed with him, something like that and um,	212.4111
163	DCA_int_04	212.4111	Mm-hm.	212.7795
164	DCA_se1_ag1_m_08	213.1245	friend of 'em- friend of theirs would come in with a camera, you know, and	215.9164
165	DCA_se1_ag1_m_08	215.9164	(pause 1.92)	217.8376
166	DCA_se1_ag1_m_08	217.8376	they would jump up and	218.7701
167	DCA_se1_ag1_m_08	218.7701	(pause 0.11)	218.8820
168	DCA_se1_ag1_m_08	218.8820	take their pictures you know, cause uh, they had money. Most likely, the men that she	222.2195
169	DCA_se1_ag1_m_08	222.2195	(pause 0.17)	222.3874
170	DCA_se1_ag1_m_08	222.3874	you know, went to bed with w-	223.3153
171	DCA_se1_ag1_m_08	223.3153	(pause 0.63)	223.9495
172	DCA_se1_ag1_m_08	223.9495	had money.	224.6116
173	DCA_se1_ag1_m_08	224.6116	(pause 0.71)	225.3250
174	DCA_se1_ag1_m_08	225.3250	And	225.7260
175	DCA_se1_ag1_m_08	225.7260	(pause 1.61)	227.3382
176	DCA_se1_ag1_m_08	227.3382	another friend of theirs,	228.7744
177	DCA_se1_ag1_m_08	228.7744	(pause 0.65)	229.4272
178	DCA_se1_ag1_m_08	229.4272	a girl and a boy,	230.4064
179	DCA_se1_ag1_m_08	230.4064	(pause 0.94)	231.3483
180	DCA_se1_ag1_m_08	231.3483	they would do the same thing. You know, the boy would get in	233.8512
181	DCA_se1_ag1_m_08	233.8512	(pause 0.37)	234.2195
182	DCA_se1_ag1_m_08	234.2195	bed with the-	234.6625
183	DCA_se1_ag1_m_08	234.6625	(pause 0.15)	234.8164
184	DCA_se1_ag1_m_08	234.8164	the women, and	235.6464
185	DCA_se1_ag1_m_08	235.6464	(pause 0.16)	235.8096
186	DCA_se1_ag1_m_08	235.8096	somebody come and take their picture.	237.2364
187	DCA_int_04	237.5395	[Mm-hm.]	237.8530
188	DCA_se1_ag1_m_08	237.6934	[You know], and	238.1970
189	DCA_se1_ag1_m_08	238.7425	vice versa.	239.3441
190	DCA_int_04	239.6926	Uh-huh.	240.0703
191	DCA_se1_ag1_m_08	240.0703	So uh,	240.6299
192	DCA_se1_ag1_m_08	241.4878	she was tryna get her husband out	242.9567
193	DCA_se1_ag1_m_08	242.9567	(pause 0.69)	243.6514
194	DCA_se1_ag1_m_08	243.6514	of jail	244.2902
195	DCA_se1_ag1_m_08	244.2902	(pause 1.04)	245.3336
196	DCA_se1_ag1_m_08	245.3336	cause he knew how to make	246.3501
197	DCA_se1_ag1_m_08	246.3501	(pause 0.67)	247.0215
198	DCA_se1_ag1_m_08	247.0215	you know-	247.3340
