Line	Spkr	StTime	Content	EnTime
1	DCA_int_04	0.4678	Um, what kind of games did you play when you much younger?	3.1898
2	DCA_int_04	3.1898	(pause 0.27)	3.4555
3	DCA_int_04	3.4555	Do you remember?	4.1503
4	DCA_se3_ag1_f_06	5.0316	Dolls.	5.8364
5	DCA_se3_ag1_f_06	5.8364	(pause 0.79)	6.6310
6	DCA_se3_ag1_f_06	6.6310	[Um,]	7.1719
7	DCA_int_04	6.6310	[Yeah.]	7.1672
8	DCA_se3_ag1_f_06	7.7874	since I had brothers I played with their toys. The trucks	10.5560
9	DCA_int_04	11.1109	Mm-hm.	11.4137
10	DCA_se3_ag1_f_06	11.6797	and the cars.	12.7072
11	DCA_se3_ag1_f_06	12.7072	(pause 1.62)	14.3318
12	DCA_se3_ag1_f_06	14.3318	Jacks.	14.9753
13	DCA_int_04	14.8867	Did you ever play games	16.1830
14	DCA_int_04	16.4394	of any kind?	17.1482
15	DCA_se3_ag1_f_06	17.8569	Yes.	18.2859
16	DCA_se3_ag1_f_06	18.2859	(pause 0.42)	18.7056
17	DCA_se3_ag1_f_06	18.7056	Um,	19.2605
18	DCA_se3_ag1_f_06	19.2605	(pause 0.88)	20.1359
19	DCA_se3_ag1_f_06	20.1359	Video Village.	21.2597
20	DCA_se3_ag1_f_06	21.2597	(pause 0.60)	21.8612
21	DCA_se3_ag1_f_06	21.8612	Monopoly.	22.6959
22	DCA_int_04	23.4886	Mm-hm.	23.8515
23	DCA_se3_ag1_f_06	24.2486	Um,	24.8595
24	DCA_se3_ag1_f_06	24.8595	(pause 0.38)	25.2418
25	DCA_se3_ag1_f_06	25.2418	Life.	25.8247
26	DCA_se3_ag1_f_06	25.8247	(pause 2.03)	27.8565
27	DCA_se3_ag1_f_06	27.8565	Barbie.	28.5187
28	DCA_se3_ag1_f_06	28.5187	(pause 2.38)	30.9014
29	DCA_se3_ag1_f_06	30.9014	That's all	31.3677
30	DCA_se3_ag1_f_06	31.3677	(pause 1.03)	32.4017
31	DCA_se3_ag1_f_06	32.4017	I can remember.	33.2317
32	DCA_int_04	33.5255	Yeah.	33.8099
33	DCA_int_04	33.8099	(pause 0.44)	34.2482
34	DCA_int_04	34.2482	Did you ever play any games f- outside like Hide and Seek or something like that?	38.3702
35	DCA_se3_ag1_f_06	38.9846	Um,	39.5348
36	DCA_se3_ag1_f_06	39.5348	(pause 0.22)	39.7586
37	DCA_se3_ag1_f_06	39.7586	<ts> Hopscotch	40.9570
38	DCA_se3_ag1_f_06	40.9570	(pause 1.37)	42.3279
39	DCA_se3_ag1_f_06	42.3279	and <ts>	43.2325
40	DCA_se3_ag1_f_06	43.2325	(pause 0.45)	43.6848
41	DCA_se3_ag1_f_06	43.6848	uh, what was it?	44.3924
42	DCA_se3_ag1_f_06	44.3924	(pause 0.97)	45.3669
43	DCA_se3_ag1_f_06	45.3669	Chinese Jump Rope	46.4954
44	DCA_se3_ag1_f_06	46.4954	(pause 0.34)	46.8311
45	DCA_se3_ag1_f_06	46.8311	with the rubber bands.	47.8717
46	DCA_int_04	48.1041	Mm-hm.	48.3652
47	DCA_int_04	48.3652	(pause 0.36)	48.7242
48	DCA_int_04	48.7242	How did you play that?	49.6615
49	DCA_se3_ag1_f_06	50.1593	Um,	50.6955
50	DCA_se3_ag1_f_06	50.6955	(pause 0.77)	51.4695
51	DCA_se3_ag1_f_06	51.4695	you have	52.3182
52	DCA_se3_ag1_f_06	52.3182	(pause 0.48)	52.7985
53	DCA_se3_ag1_f_06	52.7985	three people, and two people stand	54.5657
54	DCA_se3_ag1_f_06	54.5657	(pause 0.36)	54.9294
55	DCA_se3_ag1_f_06	54.9294	with rubber bands that have been	56.6908
56	DCA_se3_ag1_f_06	56.6908	(pause 0.25)	56.9426
57	DCA_se3_ag1_f_06	56.9426	woven into a long string	58.5560
58	DCA_se3_ag1_f_06	58.5560	(pause 0.41)	58.9710
59	DCA_se3_ag1_f_06	58.9710	between their legs, and you jump in,	60.8641
60	DCA_se3_ag1_f_06	60.8641	(pause 0.70)	61.5636
61	DCA_se3_ag1_f_06	61.5636	back and forth across the-	63.0732
62	DCA_se3_ag1_f_06	63.0732	(pause 0.69)	63.7586
63	DCA_se3_ag1_f_06	63.7586	with the	64.1783
64	DCA_se3_ag1_f_06	64.1783	(pause 1.02)	65.1995
65	DCA_se3_ag1_f_06	65.1995	rubber bands around your [legs.]	66.9014
66	DCA_int_04	66.5564	[Mm-hm.]	66.9061
67	DCA_int_04	69.0032	How'd you win? <heh>	70.3462
68	DCA_se3_ag1_f_06	70.9990	Well the person that made the least mistakes,	73.0973
69	DCA_se3_ag1_f_06	73.0973	(pause 0.40)	73.4971
70	DCA_se3_ag1_f_06	73.4971	um, they would-	74.0334
71	DCA_se3_ag1_f_06	74.0334	(pause 0.17)	74.2012
72	DCA_se3_ag1_f_06	74.2012	Since there were two lines of-	75.6933
73	DCA_se3_ag1_f_06	75.6933	(pause 0.41)	76.1037
74	DCA_se3_ag1_f_06	76.1037	of rubber bands when the people put their legs between, you couldn't touch the other one	79.4516
75	DCA_se3_ag1_f_06	79.4516	(pause 0.38)	79.8293
76	DCA_se3_ag1_f_06	79.8293	when you skipped over-	80.9193
77	DCA_int_04	81.1291	Mm-hm.	81.4369
78	DCA_se3_ag1_f_06	81.6654	over it.	82.0244
79	DCA_se3_ag1_f_06	82.0244	(pause 0.42)	82.4487
80	DCA_se3_ag1_f_06	82.4487	So the person who did it the longest without touching the other one	85.2745
81	DCA_se3_ag1_f_06	85.2745	(pause 0.58)	85.8573
82	DCA_se3_ag1_f_06	85.8573	won.	86.1184
83	DCA_int_04	86.4623	Mm-hm.	86.7981
84	DCA_int_04	86.7981	(pause 0.35)	87.1431
85	DCA_int_04	87.1431	<ts>	87.2923
86	DCA_int_04	87.2923	(pause 0.33)	87.6234
87	DCA_int_04	87.6234	Do you ever play anything like Tag or something like-	89.5909
88	DCA_se3_ag1_f_06	91.3211	Yeah.	91.7081
89	DCA_se3_ag1_f_06	91.7081	(pause 0.48)	92.1919
90	DCA_se3_ag1_f_06	92.1919	The Cowboys and Indians. [<laugh>]	93.8146
91	DCA_int_04	93.3390	[How'd] you play that? /inaudible/	95.2974
92	DCA_se3_ag1_f_06	96.2067	Um,	96.7615
93	DCA_se3_ag1_f_06	96.7615	(pause 1.42)	98.1779
94	DCA_se3_ag1_f_06	98.1779	well the boys down the street- I was the only girl on my block,	100.8917
95	DCA_se3_ag1_f_06	100.8917	(pause 0.25)	101.1388
96	DCA_se3_ag1_f_06	101.1388	so we used to play	102.0388
97	DCA_se3_ag1_f_06	102.0388	(pause 0.52)	102.5564
98	DCA_se3_ag1_f_06	102.5564	Cowboys and Indians, and I was the Indian princess that was always rescued	106.1503
99	DCA_se3_ag1_f_06	106.1503	(pause 0.77)	106.9197
100	DCA_se3_ag1_f_06	106.9197	by the cowboy or something. <laugh>	108.7895
101	DCA_int_04	108.9667	Mm-hm.	109.3024
102	DCA_int_04	109.3024	(pause 1.87)	111.1714
103	DCA_int_04	111.1714	Okay.	111.5594
104	DCA_int_04	111.5594	(pause 1.21)	112.7705
105	DCA_int_04	112.7705	Okay, um, what about your TV programs?	115.7128
106	DCA_int_04	115.7128	(pause 0.17)	115.8806
107	DCA_int_04	115.8806	Do you have any favorite ones that [you watch?]	117.6421
108	DCA_se3_ag1_f_06	117.3623	[Hm.]	117.8799
109	DCA_se3_ag1_f_06	118.8824	<ts>	118.9274
110	DCA_se3_ag1_f_06	118.9274	(pause 1.17)	120.0947
111	DCA_se3_ag1_f_06	120.0947	Um,	120.6216
112	DCA_se3_ag1_f_06	120.6216	(pause 0.84)	121.4598
113	DCA_se3_ag1_f_06	121.4598	I don't watch much TV	122.8260
114	DCA_se3_ag1_f_06	122.8260	(pause 0.72)	123.5488
115	DCA_se3_ag1_f_06	123.5488	during the week, but I watch the movie.	125.2303
116	DCA_se3_ag1_f_06	125.2303	(pause 0.55)	125.7823
117	DCA_se3_ag1_f_06	125.7823	Saturday night	126.4864
118	DCA_se3_ag1_f_06	126.4864	(pause 0.31)	126.7942
119	DCA_se3_ag1_f_06	126.7942	movies and	127.4237
120	DCA_se3_ag1_f_06	127.4237	(pause 1.14)	128.5649
121	DCA_se3_ag1_f_06	128.5649	and the movies during the week	129.6421
122	DCA_se3_ag1_f_06	129.6421	(pause 0.15)	129.7959
123	DCA_se3_ag1_f_06	129.7959	cause they're better this year	130.7891
124	DCA_se3_ag1_f_06	130.7891	(pause 0.90)	131.6937
125	DCA_se3_ag1_f_06	131.6937	[/then they've ever have been/.]	132.6123
126	DCA_int_04	131.8896	[Did you watch] any	132.8315
127	DCA_int_04	133.0273	recently that you can relate?	134.7608
128	DCA_se3_ag1_f_06	135.6906	Um, To Kill a Mockingbird,	136.9775
129	DCA_se3_ag1_f_06	136.9775	(pause 0.78)	137.7586
130	DCA_se3_ag1_f_06	137.7586	I like that one.	138.4434
131	DCA_int_04	138.6836	Mm-hm.	138.9867
132	DCA_int_04	138.9867	(pause 0.70)	139.6908
133	DCA_int_04	139.6908	Can you tell me	140.1804
134	DCA_int_04	140.1804	(pause 0.15)	140.3273
135	DCA_int_04	140.3273	the story of it?	141.1590
136	DCA_int_04	141.1590	(pause 0.38)	141.5367
137	DCA_int_04	141.5367	/inaudible/	142.2954
138	DCA_se3_ag1_f_06	142.7141	Well,	143.0288
139	DCA_se3_ag1_f_06	143.0288	(pause 0.89)	143.9165
140	DCA_se3_ag1_f_06	143.9165	it was about	144.4341
141	DCA_se3_ag1_f_06	144.4341	(pause 0.56)	144.9983
142	DCA_se3_ag1_f_06	144.9983	these two little children that lived in the South	147.2546
143	DCA_se3_ag1_f_06	147.2546	(pause 0.72)	147.9773
144	DCA_se3_ag1_f_06	147.9773	And their father was a lawyer,	149.4462
145	DCA_se3_ag1_f_06	149.4462	(pause 0.23)	149.6723
146	DCA_se3_ag1_f_06	149.6723	and he had to defend	150.6859
147	DCA_se3_ag1_f_06	150.6859	(pause 0.54)	151.2221
148	DCA_se3_ag1_f_06	151.2221	a Negro in the case of rape.	152.9404
149	DCA_se3_ag1_f_06	152.9404	(pause 0.32)	153.2593
150	DCA_se3_ag1_f_06	153.2593	And it was how they	154.3807
151	DCA_se3_ag1_f_06	154.3807	(pause 0.50)	154.8843
152	DCA_se3_ag1_f_06	154.8843	felt about this, and how the town	156.5297
153	DCA_se3_ag1_f_06	156.5297	(pause 0.17)	156.6976
154	DCA_se3_ag1_f_06	156.6976	felt towards them. And it was told by the little girl	159.0523
155	DCA_int_04	160.0030	Mm.	160.3177
156	DCA_se3_ag1_f_06	160.2991	in the story.	161.0894
157	DCA_se3_ag1_f_06	162.6253	/That was it/.	163.1779
158	DCA_int_04	163.2688	Did you watch	163.9519
159	DCA_int_04	163.9519	(pause 0.21)	164.1594
160	DCA_int_04	164.1594	last night /??/	165.2709
161	DCA_se3_ag1_f_06	165.6906	No, we had-	166.2152
162	DCA_se3_ag1_f_06	166.2152	(pause 0.08)	166.2991
163	DCA_se3_ag1_f_06	166.2991	We were supposed to watch it for Spanish, and I forgot (laughing).	168.9178
164	DCA_int_04	168.8281	<laugh>	169.7724
165	DCA_int_04	170.3570	Maybe you'll catch it tonight. <laugh>	172.2525
166	DCA_se3_ag1_f_06	171.6556	<laugh>	172.9705
167	DCA_int_04	173.0358	/?/ and my TV just broke.	174.5390
168	DCA_int_04	174.5390	(pause 0.15)	174.6882
169	DCA_int_04	174.6882	[<laugh>]	175.4786
170	DCA_se3_ag1_f_06	174.8678	[Oh.]	175.3317
171	DCA_int_04	175.8726	What about reading? I noticed you had some books. Do you like to read?	178.6675
172	DCA_se3_ag1_f_06	178.7887	[Yeah.]	179.1547
173	DCA_int_04	178.8400	[What kind] of things do you read?	180.0750
174	DCA_se3_ag1_f_06	180.5903	Um,	181.1592
175	DCA_se3_ag1_f_06	181.1592	(pause 0.48)	181.6441
176	DCA_se3_ag1_f_06	181.6441	<ts>	181.7351
177	DCA_se3_ag1_f_06	181.7351	(pause 0.34)	182.0755
178	DCA_se3_ag1_f_06	182.0755	mystery stories mostly,	183.5134
179	DCA_se3_ag1_f_06	183.5134	(pause 1.20)	184.7164
180	DCA_se3_ag1_f_06	184.7164	and I r- like to read the	185.9101
181	DCA_se3_ag1_f_06	185.9101	(pause 0.19)	186.1007
182	DCA_se3_ag1_f_06	186.1007	late-	186.3572
183	DCA_se3_ag1_f_06	186.3572	(pause 0.29)	186.6439
184	DCA_se3_ag1_f_06	186.6439	latest	187.0240
185	DCA_se3_ag1_f_06	187.0240	(pause 0.09)	187.1149
186	DCA_se3_ag1_f_06	187.1149	books that come out that are on the	188.4765
187	DCA_se3_ag1_f_06	188.4765	(pause 0.11)	188.5837
188	DCA_se3_ag1_f_06	188.5837	best selling list.	189.6416
189	DCA_int_04	189.8351	What ones have you been reading /lately/?	191.1641
190	DCA_se3_ag1_f_06	191.4648	Um, well I just got The Naked Eight today.	193.6452
191	DCA_int_04	193.9915	Mm-hm.	194.4322
192	DCA_se3_ag1_f_06	194.7370	And I've read The Gabriel Hounds	196.7421
193	DCA_se3_ag1_f_06	196.7421	(pause 0.13)	196.8750
194	DCA_se3_ag1_f_06	196.8750	by Mary Stewart.	198.0750
195	DCA_se3_ag1_f_06	198.0750	(pause 0.74)	198.8188
196	DCA_se3_ag1_f_06	198.8188	And The Confessions of Nat Turner.	200.9474
197	DCA_int_04	201.9377	Mm.	202.2618
198	DCA_se3_ag1_f_06	202.5532	And um,	203.4951
199	DCA_se3_ag1_f_06	203.4951	(pause 0.90)	204.3965
200	DCA_se3_ag1_f_06	204.3965	<ts>	204.4989
201	DCA_se3_ag1_f_06	204.4989	(pause 1.32)	205.8213
202	DCA_se3_ag1_f_06	205.8213	uh,	206.4462
203	DCA_se3_ag1_f_06	206.4462	(pause 0.78)	207.2243
204	DCA_se3_ag1_f_06	207.2243	Rosemary's Baby.	208.3037
205	DCA_int_04	208.5555	Mm-hm.	208.9449
206	DCA_int_04	208.9449	(pause 0.11)	209.0545
207	DCA_int_04	209.0545	Tell me about that one.	209.9544
208	DCA_se3_ag1_f_06	210.1031	/I don't know./ [<laugh>]	211.5322
209	DCA_int_04	210.7745	[<laugh>]	211.5672
210	DCA_se3_ag1_f_06	211.8563	I don't know. It's that-	212.5534
211	DCA_se3_ag1_f_06	212.5534	(pause 0.21)	212.7673
212	DCA_se3_ag1_f_06	212.7673	It had a very shocking ending,	214.5182
213	DCA_int_04	214.8237	Mm-hm.	215.3109
214	DCA_se3_ag1_f_06	215.8583	and	216.3945
215	DCA_se3_ag1_f_06	216.3945	(pause 0.77)	217.1615
216	DCA_se3_ag1_f_06	217.1615	<ts>	217.2396
217	DCA_se3_ag1_f_06	217.2396	(pause 0.11)	217.3480
218	DCA_se3_ag1_f_06	217.3480	I don't know. I thought it was weird. I thought it was a good book.	219.3315
219	DCA_se3_ag1_f_06	219.3315	(pause 0.34)	219.6696
220	DCA_se3_ag1_f_06	219.6696	And then I saw the movie, and I thought the movie was good too.	222.0750
221	DCA_int_04	222.7955	You saw the movie?	223.6628
222	DCA_se3_ag1_f_06	223.5882	Yeah.	223.8726
